INFO 2014-03-20 14:28:08,876 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/gridfs/index.html
INFO 2014-03-20 14:28:08,879 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/gridfs/index.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,888 crawler 949 140735266841360 link <a class="reference internal" href="gridfs/errors.html"><tt class="docutils literal"><span class="pre">errors</span></tt> – Exceptions raised by the <tt class="docutils literal"><span class="pre">gridfs</span></tt> package</a>
INFO 2014-03-20 14:28:08,889 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/gridfs/errors.html
INFO 2014-03-20 14:28:08,897 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/gridfs/errors.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,905 crawler 949 140735266841360 link <a class="reference internal" href="gridfs/grid_file.html"><tt class="docutils literal"><span class="pre">grid_file</span></tt> – Tools for representing files stored in GridFS</a>
INFO 2014-03-20 14:28:08,906 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/api/gridfs/grid_file.html
INFO 2014-03-20 14:28:08,909 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/api/gridfs/grid_file.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
INFO 2014-03-20 14:28:08,917 crawler 949 140735266841360 link <a href="../faq.html" title="previous chapter">Frequently Asked Questions</a>
INFO 2014-03-20 14:28:08,918 crawler 949 140735266841360 href http://api.mongodb.org/python/2.7rc0/faq.html
INFO 2014-03-20 14:28:08,922 crawler 949 140735266841360 add link http://api.mongodb.org/python/2.7rc0/faq.html to url http://api.mongodb.org/python/2.7rc0/api/index.html
